1590465091340.571, 28.700, -0.920, 0.000, 0.000, 0.000, 20.700
1590465091362.5513, 28.700, -1.030, 0.000, 0.000, 3.000, 20.600
1590465091384.4932, 28.700, -0.970, 0.000, 0.000, 1.000, 20.700
1590465091406.4653, 28.700, -0.940, 0.000, 0.000, 2.000, 20.700
1590465091428.454, 28.700, -0.980, 0.000, 0.000, 2.000, 20.700
1590465091450.5864, 28.800, -0.980, 0.000, 0.000, 0.000, 20.700
1590465091472.5286, 28.700, -0.870, 0.000, 0.000, 3.000, 20.700
1590465091494.5024, 28.700, -0.920, 0.000, 0.000, -1.000, 20.700
1590465091516.4287, 28.700, -0.950, 0.000, 0.000, 0.000, 20.600
1590465091538.4124, 28.700, -0.880, 0.000, 0.000, 0.000, 20.700
1590465091560.4321, 28.600, -0.940, 0.000, 0.000, 0.000, 20.700
1590465091582.4126, 28.600, -0.940, 0.000, 0.000, 0.000, 20.700
1590465091604.369, 28.600, -0.900, 0.000, 0.000, -3.000, 20.700
1590465091626.349, 28.600, -0.910, 0.000, 0.000, 0.000, 20.700
1590465091648.3477, 28.500, -0.900, 0.000, 0.000, 0.000, 20.700
1590465091670.3542, 28.600, -0.970, 0.000, 0.000, -4.000, 20.700
1590465091692.342, 28.600, -0.930, 0.000, 0.000, 0.000, 20.700
1590465091714.2944, 28.600, -0.900, 0.000, 0.000, 2.000, 20.700
1590465091736.2998, 28.600, -0.980, 0.000, 0.000, 0.000, 20.700
1590465091758.4558, 28.600, -0.940, 0.000, 0.000, -1.000, 20.700
1590465091780.3538, 28.600, -0.930, 0.000, 0.000, -1.000, 20.700
1590465091802.3093, 28.600, -0.970, 0.000, 0.000, 1.000, 20.700
1590465091824.3064, 28.600, -0.910, 0.000, 0.000, 0.000, 20.700
1590465091846.2534, 28.600, -0.880, 0.000, 0.000, 0.000, 20.700
1590465091868.29, 28.600, -0.940, 0.000, 0.000, 1.000, 20.700
1590465091890.3115, 28.600, -1.040, 0.000, 0.000, 0.000, 20.700
1590465091912.2625, 28.600, -0.940, 0.000, 0.000, 0.000, 20.700
1590465091934.2168, 28.600, -0.890, 0.000, 0.000, 0.000, 20.600
1590465091956.203, 28.600, -1.010, 0.000, 0.000, -2.000, 20.700
1590465091978.7368, 28.600, -0.970, 0.000, 0.000, 1.000, 20.700
1590465092001.3018, 28.600, -0.950, 0.000, 0.000, -2.000, 20.700
1590465092023.1995, 28.600, -1.000, 0.000, 0.000, 1.000, 20.700
